,latency,x_pos,z_pos,x_conv,z_conv,nodeNr,in_nodeRadius,neighbours,num_neighbours,closest_to_nodeCentroid,node_1st_half,time_diff,time_diff_normalized,distance_to_next,distance_difference
0,2.432,-59.05,34.53,95.955,78.66749999999999,,0,,,0,0,,,0.0,
1,4.209,-59.06,34.55,95.9525,78.6725,,0,,,0,0,,,0.005590169943757101,0.005590169943757101
2,9.253,-59.17,34.56,95.925,78.675,,0,,,0,0,,,0.03320357248672844,0.027613402542971344
3,11.772,-59.14,34.64,95.9325,78.695,,0,,,0,0,,,0.05456358185002114,0.021360009363292694
4,11.883,-59.13,34.65,95.935,78.69749999999999,,0,,,0,0,,,0.058099115755950656,0.0035355339059295193
5,13.772,-59.09,34.56,95.945,78.675,,0,,,0,0,,,0.08272126026043151,0.02462214450448086
6,15.327,-59.13,34.68,95.935,78.705,,0,,,0,0,,,0.1143440368621135,0.03162277660168199
7,15.438,-59.0,35.21,95.9675,78.83749999999999,,0,,,0,0,,,0.2507716733585291,0.13642763649641562
8,15.549,-58.69,35.66,96.045,78.94999999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.38738243428166963,0.1366107609231405
9,16.193,-58.21,35.87,96.165,79.0025,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.5183643032559748,0.1309818689743052
10,16.304,-57.68,35.85,96.2975,78.9975,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.6509586093177291,0.13259430606175426
11,16.415,-57.34,35.86,96.3825,79.0,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.7359953660761975,0.08503675675846845
12,16.748,-57.34,35.89,96.3825,79.0075,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.7434953660761907,0.007499999999993179
13,16.86,-57.39,36.16,96.37,79.07499999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.8121430171649141,0.0686476510887234
14,17.304,-56.99,36.36,96.47,79.125,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.9239464160399036,0.11180339887498947
15,17.414,-56.59,36.71,96.57,79.21249999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.0568232386990768,0.13287682265917322
16,17.526,-56.28,37.17,96.64750000000001,79.3275,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.1955000211826792,0.13867678248360238
17,17.637,-56.02,37.67,96.7125,79.4525,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.336390049218732,0.14089002803605277
18,17.748,-55.62,38.03,96.8125,79.54249999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.4709262896894577,0.13453624047072577
19,17.859,-55.09,38.18,96.945,79.58,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.6086306832286577,0.13770439353919994
20,17.978,-54.53,38.2,97.08500000000001,79.585,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.7487199404898912,0.14008925726123356
21,18.103,-53.87,38.24,97.25,79.595,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.914022693038049,0.16530275254815785
22,18.215,-53.32,38.28,97.3875,79.60499999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,2.0518858498276735,0.13786315678962446
