latency,type,in_nodeRadius,closest_to_nodeCentroid,time_diff_normalized,node_1st_half,num_neighbours
1.9692931946367025,Background,,,,,
2.0602931946367025,Background,,,,,
2.2912931946367023,Background,,,,,
2.5482931946367025,Other_Buildings,,,,,
2.9592931946367025,Background,,,,,
3.0932931946367024,Background,,,,,
3.2472931946367023,Background,,,,,
3.5142931946367026,Background,,,,,
3.9022931946367025,Background,,,,,
4.257293194636702,Background,,,,,
4.435293194636703,Background,,,,,
4.758293194636702,Background,,,,,
4.958293194636703,Background,,,,,
5.324293194636702,Other_Buildings,,,,,
5.723293194636702,Background,,,,,
6.267293194636703,TaskBuilding_Residential,0.0,0.0,,0.0,
6.534293194636702,Background,,,,,
7.0802931946367025,Background,,,,,
7.545293194636702,Background,,,,,
7.877293194636702,Background,0.0,0.0,,0.0,
8.111293194636701,TaskBuilding_Residential,,,,,
8.311293194636702,TaskBuilding_Residential,0.0,0.0,,0.0,
8.555293194636702,TaskBuilding_Residential,,,,,
8.689293194636702,TaskBuilding_Residential,,,,,
8.990293194636703,Background,,,,,
9.200293194636703,TaskBuilding_Residential,,,,,
9.400293194636703,TaskBuilding_Residential,,,,,
9.645293194636704,TaskBuilding_Residential,,,,,
9.725293194636702,TaskBuilding_Residential,,,,,
9.822293194636702,TaskBuilding_Residential,,,,,
10.044293194636703,TaskBuilding_Residential,,,,,
10.743293194636703,Other_Buildings,,,,,
10.977293194636703,Other_Buildings,,,,,
12.331293194636702,Background,,,,,
12.942293194636703,Background,,,,,
13.220293194636703,Other_Buildings,,,,,
13.642293194636702,TaskBuilding_Residential,,,,,
13.920293194636702,Background,,,,,
14.786293194636702,Background,,,,,
15.241293194636702,Background,,,,,
15.842293194636703,Background,,,,,
16.1632931946367,Background,,,,,
16.586293194636703,Background,,,,,
16.941293194636703,Background,,,,,
17.2182931946367,Background,0.0,0.0,,0.0,
17.507293194636702,Background,,,,,
17.796293194636704,Other_Buildings,,,,,
17.9962931946367,Background,1.0,0.0,,1.0,3.0
18.440293194636702,Background,,,,,
18.784293194636703,Background,,,,,
19.484293194636706,Background,1.0,0.0,,1.0,3.0
19.562293194636702,Background,1.0,0.0,,1.0,3.0
20.284293194636703,TaskBuilding_Public,1.0,0.0,,1.0,3.0
20.594293194636705,Background,1.0,0.0,,1.0,3.0
20.6722931946367,Background,1.0,0.0,,1.0,3.0
20.8612931946367,Background,1.0,0.0,,1.0,3.0
21.183293194636704,Background,1.0,0.0,,1.0,3.0
21.594293194636705,Background,1.0,0.0,,1.0,3.0
21.661293194636706,Background,1.0,0.0,,1.0,3.0
21.9832931946367,Background,1.0,0.0,,1.0,3.0
22.4162931946367,Background,1.0,0.0,,1.0,3.0
22.7272931946367,Background,1.0,0.0,,1.0,3.0
22.9162931946367,Background,1.0,0.0,,1.0,3.0
23.3832931946367,Background,1.0,0.0,,1.0,3.0
23.9262931946367,Background,1.0,0.0,,1.0,3.0
24.4262931946367,Other_Buildings,1.0,0.0,,1.0,3.0
25.193293194636702,Other_Buildings,1.0,0.0,,1.0,3.0
25.7942931946367,Other_Buildings,1.0,0.0,,1.0,3.0
26.137293194636705,Background,1.0,0.0,,1.0,3.0
26.4472931946367,Background,1.0,0.0,,1.0,3.0
26.792293194636706,Background,1.0,0.0,,1.0,3.0
26.893293194636705,Other_Buildings,1.0,0.0,,1.0,3.0
27.2372931946367,Other_Buildings,1.0,0.0,,1.0,3.0
27.481293194636706,Other_Buildings,1.0,0.0,,1.0,3.0
27.781293194636703,Other_Buildings,1.0,0.0,,1.0,3.0
28.082293194636705,Background,1.0,0.0,,1.0,3.0
28.4682931946367,Other_Buildings,1.0,0.0,,1.0,3.0
28.6572931946367,TaskBuilding_Residential,1.0,0.0,,1.0,3.0
29.424293194636704,Background,1.0,0.0,,1.0,3.0
29.713293194636705,Background,0.0,0.0,,0.0,
30.036293194636706,Background,0.0,0.0,,0.0,
30.5022931946367,Background,0.0,0.0,,0.0,
30.6242931946367,TaskBuilding_Residential,0.0,0.0,,0.0,
30.768293194636705,TaskBuilding_Residential,0.0,0.0,,0.0,
31.089293194636703,Background,0.0,0.0,,0.0,
31.5232931946367,Background,0.0,0.0,,0.0,
31.9562931946367,Background,0.0,0.0,,0.0,
32.344293194636705,Background,0.0,0.0,,0.0,
32.4902931946367,Background,,,,,
32.622293194636704,Background,,,,,
32.8002931946367,Background,,,,,
33.1332931946367,Background,0.0,0.0,,0.0,
33.600293194636706,Background,0.0,0.0,,0.0,
33.9222931946367,Background,,,,,
34.344293194636705,Background,,,,,
34.710293194636705,Background,,,,,
35.0222931946367,Background,,,,,
35.722293194636705,Background,0.0,0.0,,0.0,
36.009293194636705,Background,,,,,
36.4222931946367,Background,,,,,
36.710293194636705,TaskBuilding_Residential,,,,,
37.122293194636704,Background,0.0,0.0,,0.0,
37.655293194636705,Background,,,,,
37.942293194636704,Other_Buildings,0.0,0.0,,0.0,
38.3972931946367,Background,0.0,0.0,,0.0,
38.731293194636706,Background,0.0,0.0,,0.0,
39.064293194636704,Background,0.0,0.0,,0.0,
39.5412931946367,Background,,,,,
39.87429319463671,Background,,,,,
40.3852931946367,Background,0.0,0.0,,0.0,
40.7082931946367,Background,0.0,0.0,,0.0,
41.0412931946367,Background,,,,,
41.6072931946367,Other_Buildings,,,,,
42.02929319463671,Background,,,,,
42.27329319463671,Background,0.0,0.0,,0.0,
42.4732931946367,Background,0.0,0.0,,0.0,
42.7202931946367,Other_Buildings,,,,,
43.009293194636705,Other_Buildings,0.0,0.0,,0.0,
43.2082931946367,Other_Buildings,,,,,
43.4742931946367,Other_Buildings,,,,,
43.6502931946367,Other_Buildings,,,,,
43.929293194636706,Other_Buildings,,,,,
44.128293194636704,Other_Buildings,,,,,
44.417293194636706,Background,,,,,
44.5832931946367,Other_Buildings,,,,,
44.817293194636704,Other_Buildings,,,,,
45.3272931946367,Other_Buildings,,,,,
45.62729319463671,Background,,,,,
45.8732931946367,Background,,,,,
46.173293194636706,Background,0.0,0.0,,0.0,
46.5382931946367,Background,0.0,0.0,,0.0,
47.1382931946367,Background,0.0,0.0,,0.0,
47.31629319463671,Background,0.0,0.0,,0.0,
47.5162931946367,Background,0.0,0.0,,0.0,
47.8152931946367,Background,0.0,0.0,,0.0,
48.38329319463671,Other_Buildings,0.0,0.0,,0.0,
48.4492931946367,Other_Buildings,0.0,0.0,,0.0,
48.78229319463671,Background,0.0,0.0,,0.0,
49.1262931946367,Background,0.0,0.0,,0.0,
49.381293194636704,Background,0.0,0.0,,0.0,
49.5372931946367,Background,0.0,0.0,,0.0,
49.7262931946367,Background,0.0,0.0,,0.0,
50.1042931946367,Background,0.0,0.0,,0.0,
50.52629319463671,Background,,,,,
50.792293194636706,Background,0.0,0.0,,0.0,
51.1022931946367,Background,0.0,0.0,,0.0,
51.3482931946367,Background,0.0,0.0,,0.0,
51.771293194636705,Background,0.0,0.0,,0.0,
52.0712931946367,Background,0.0,0.0,,0.0,
52.503293194636704,Background,0.0,0.0,,0.0,
52.747293194636704,TaskBuilding_Residential,0.0,0.0,,0.0,
53.15729319463671,Other_Buildings,0.0,0.0,,0.0,
53.3912931946367,Other_Buildings,0.0,0.0,,0.0,
53.7242931946367,Other_Buildings,0.0,0.0,,0.0,
54.369293194636704,Background,0.0,0.0,,0.0,
54.71229319463671,Other_Buildings,0.0,0.0,,0.0,
55.15729319463671,Background,,,,,
55.3572931946367,Other_Buildings,0.0,0.0,,0.0,
55.9792931946367,Background,,,,,
57.1232931946367,Other_Buildings,,,,,
57.256293194636704,Other_Buildings,0.0,0.0,,0.0,
57.378293194636704,Other_Buildings,0.0,0.0,,0.0,
57.65729319463671,Background,,,,,
58.500293194636704,Other_Buildings,0.0,0.0,,0.0,
58.75529319463671,Other_Buildings,0.0,0.0,,0.0,
58.966293194636705,Other_Buildings,0.0,0.0,,0.0,
59.121293194636706,Background,0.0,0.0,,0.0,
59.555293194636704,Other_Buildings,0.0,0.0,,0.0,
59.988293194636704,Background,,,,,
60.3882931946367,Other_Buildings,0.0,0.0,,0.0,
60.466293194636705,Other_Buildings,0.0,0.0,,0.0,
60.6322931946367,Other_Buildings,0.0,0.0,,0.0,
60.8542931946367,Other_Buildings,0.0,0.0,,0.0,
61.055293194636704,Other_Buildings,0.0,0.0,,0.0,
62.34329319463671,Other_Buildings,0.0,0.0,,0.0,
62.954293194636705,Background,,,,,
63.686293194636704,Background,0.0,0.0,,0.0,
63.975293194636706,Background,0.0,0.0,,0.0,
64.2642931946367,Other_Buildings,0.0,0.0,,0.0,
64.4532931946367,Other_Buildings,0.0,0.0,,0.0,
64.6752931946367,Other_Buildings,,,,,
65.1082931946367,Other_Buildings,,,,,
65.4132931946367,Other_Buildings,,,,,
65.7622931946367,Other_Buildings,,,,,
66.36329319463671,Other_Buildings,,,,,
66.6302931946367,Other_Buildings,,,,,
66.78529319463671,Other_Buildings,,,,,
67.0842931946367,Other_Buildings,0.0,0.0,,0.0,
67.4292931946367,Other_Buildings,0.0,0.0,,0.0,
68.1062931946367,Other_Buildings,1.0,0.0,,1.0,3.0
68.52929319463671,Background,1.0,0.0,,1.0,3.0
68.80629319463671,Background,1.0,0.0,,1.0,3.0
69.19629319463671,Background,0.0,0.0,,0.0,
69.5512931946367,Background,1.0,0.0,,1.0,3.0
69.6732931946367,Background,1.0,0.0,,1.0,3.0
70.3832931946367,Background,1.0,0.0,,1.0,3.0
70.7282931946367,Background,1.0,0.0,,1.0,3.0
71.2952931946367,Background,1.0,0.0,,1.0,3.0
71.4622931946367,Background,1.0,0.0,,1.0,3.0
71.6392931946367,Other_Buildings,1.0,0.0,,1.0,3.0
71.8842931946367,Other_Buildings,1.0,0.0,,1.0,3.0
72.2742931946367,Background,1.0,0.0,,1.0,3.0
72.4182931946367,Background,1.0,0.0,,1.0,3.0
72.7952931946367,Other_Buildings,1.0,0.0,0.993884459975975,0.0,3.0
73.1622931946367,Other_Buildings,1.0,0.0,0.9538058316042368,0.0,3.0
73.4952931946367,Background,1.0,0.0,0.917440209675658,0.0,3.0
73.84829319463671,Background,,,,,
74.3262931946367,Other_Buildings,,,,,
74.9602931946367,Background,1.0,0.0,0.7574533144042804,0.0,3.0
75.4272931946367,Background,1.0,0.0,0.7064540788467835,0.0,3.0
75.7932931946367,Background,1.0,0.0,0.6664846565469037,0.0,3.0
76.08329319463671,Background,1.0,0.0,0.6348148957082004,0.0,3.0
76.2932931946367,Background,1.0,0.0,0.611881620618106,1.0,4.0
76.72629319463671,Background,1.0,0.0,0.5645953915037665,1.0,4.0
76.9712931946367,Background,,,,,
77.48229319463671,Background,1.0,0.0,0.4820356011794243,1.0,4.0
77.7592931946367,Background,1.0,0.0,0.4517855192748719,1.0,4.0
78.0932931946367,Background,1.0,0.0,0.4153106912744347,1.0,4.0
78.52629319463671,Background,1.0,0.0,0.3680244621600952,1.0,4.0
78.7482931946367,Background,1.0,0.0,0.3437807142077096,1.0,4.0
79.0902931946367,Other_Buildings,1.0,0.0,0.3064322376324122,1.0,4.0
79.6032931946367,Background,1.0,0.0,0.2504095227694652,1.0,4.0
79.8712931946367,Background,1.0,0.0,0.2211422955116296,1.0,4.0
80.1362931946367,Background,1.0,0.0,0.1922026864693667,1.0,4.0
80.5692931946367,Background,1.0,0.0,0.1449164573550288,1.0,4.0
81.0342931946367,Background,1.0,0.0,0.0941356339412466,1.0,4.0
81.2132931946367,Background,1.0,0.0,0.0745877470787368,1.0,4.0
81.5012931946367,Background,1.0,0.0,0.0431363983837497,1.0,4.0
82.0342931946367,Other_Buildings,1.0,0.0,0.9963287131873684,0.0,4.0
82.5112931946367,TaskBuilding_Public,1.0,0.0,0.9836388305089252,0.0,4.0
82.7782931946367,Background,1.0,0.0,0.9765356886323124,0.0,4.0
83.24429319463671,Background,1.0,0.0,0.9641384447577744,0.0,4.0
83.45529319463671,Background,,,,,
83.7342931946367,Background,1.0,0.0,0.9511027162201706,0.0,4.0
83.8322931946367,Background,1.0,0.0,0.9484955705126498,0.0,4.0
84.1552931946367,Background,,,,,
84.6432931946367,Background,1.0,0.0,0.9269201096065338,0.0,4.0
85.3992931946367,TaskBuilding_Public,1.0,0.0,0.9068078427199447,0.0,4.0
85.6092931946367,Other_Buildings,1.0,0.0,0.901221101918114,0.0,4.0
85.8322931946367,Background,1.0,0.0,0.8952885152571229,0.0,4.0
86.03229319463671,Background,1.0,0.0,0.8899678097315702,0.0,4.0
86.4322931946367,Background,1.0,0.0,0.879326398680465,0.0,4.0
86.8102931946367,Background,1.0,0.0,0.8692702652371704,0.0,4.0
87.9752931946367,Other_Buildings,1.0,0.0,0.8382771555508259,0.0,4.0
88.4082931946367,Background,1.0,0.0,0.8267578280880045,0.0,4.0
88.8412931946367,Background,,,,,
88.99729319463671,Background,,,,,
89.1432931946367,Background,1.0,0.0,0.8072042352815985,0.0,4.0
89.34229319463671,Background,1.0,0.0,0.8019101332836731,0.0,4.0
89.5092931946367,Background,,,,,
90.6522931946367,Background,1.0,0.0,0.7670595120913034,0.0,4.0
91.04129319463671,Background,1.0,0.0,0.7567107398441031,0.0,4.0
91.30929319463671,Other_Buildings,1.0,0.0,0.7495809944398625,0.0,4.0
91.6302931946367,Other_Buildings,1.0,0.0,0.7410412620713505,0.0,4.0
91.9512931946367,TaskBuilding_Public,,,,,
92.24129319463671,TaskBuilding_Public,,,,,
92.4292931946367,TaskBuilding_Public,,,,,
92.6732931946367,TaskBuilding_Public,1.0,0.0,0.7132937827555934,0.0,4.0
93.10729319463671,TaskBuilding_Public,,,,,
93.2512931946367,TaskBuilding_Public,,,,,
93.44029319463671,Background,,,,,
93.7842931946367,Other_Buildings,1.0,0.0,0.6837372635611482,0.0,4.0
94.0062931946367,Background,,,,,
94.46129319463671,TaskBuilding_Public,1.0,0.0,0.6657266753571521,0.0,4.0
94.7842931946367,TaskBuilding_Public,,,,,
95.1952931946367,TaskBuilding_Public,,,,,
96.7832931946367,Other_Buildings,1.0,0.0,0.6039532842054858,0.0,4.0
97.0492931946367,Background,,,,,
97.31529319463671,Background,,,,,
97.5482931946367,Background,,,,,
98.1832931946367,Background,1.0,0.0,0.5667083455266169,0.0,4.0
98.36029319463671,Background,0.0,0.0,0.5619995211365025,0.0,
98.7162931946367,Background,0.0,0.0,0.5525286653010189,0.0,
99.20529319463671,Background,0.0,0.0,0.5395195402910424,0.0,
